Date,New Customers
31/12/2021,4
1/1/2022,4
2/1/2022,5
3/1/2022,8
4/1/2022,3
5/1/2022,8
6/1/2022,9
7/1/2022,6
8/1/2022,6
9/1/2022,2
10/1/2022,3
11/1/2022,3
12/1/2022,6
13/1/2022,4
14/1/2022,7
15/1/2022,5
16/1/2022,6
17/1/2022,11
18/1/2022,4
19/1/2022,7
20/1/2022,9
21/1/2022,3
22/1/2022,6
23/1/2022,3
24/1/2022,4
25/1/2022,4
26/1/2022,1
27/1/2022,4
28/1/2022,8
29/1/2022,4
30/1/2022,5
31/1/2022,5
1/2/2022,5
2/2/2022,3
3/2/2022,7
4/2/2022,6
5/2/2022,7
6/2/2022,2
7/2/2022,6
8/2/2022,4
9/2/2022,7
10/2/2022,6
11/2/2022,7
12/2/2022,5
13/2/2022,5
14/2/2022,7
15/2/2022,1
16/2/2022,5
17/2/2022,6
18/2/2022,6
19/2/2022,5
20/2/2022,7
21/2/2022,4
22/2/2022,3
23/2/2022,2
24/2/2022,2
25/2/2022,4
26/2/2022,5
27/2/2022,6
28/2/2022,4
1/3/2022,8
2/3/2022,4
3/3/2022,5
4/3/2022,4
5/3/2022,6
6/3/2022,3
7/3/2022,5
8/3/2022,7
9/3/2022,2
10/3/2022,8
11/3/2022,4
12/3/2022,7
13/3/2022,4
14/3/2022,4
15/3/2022,5
16/3/2022,8
17/3/2022,7
18/3/2022,4
19/3/2022,7
20/3/2022,9
21/3/2022,4
22/3/2022,6
23/3/2022,4
24/3/2022,4
25/3/2022,6
26/3/2022,3
27/3/2022,6
28/3/2022,2
29/3/2022,3
30/3/2022,3
31/3/2022,3
1/4/2022,2
2/4/2022,6
3/4/2022,8
4/4/2022,7
5/4/2022,7
6/4/2022,5
7/4/2022,4
8/4/2022,7
9/4/2022,5
10/4/2022,6
11/4/2022,4
12/4/2022,4
13/4/2022,11
14/4/2022,6
15/4/2022,3
16/4/2022,3
17/4/2022,5
18/4/2022,8
19/4/2022,5
20/4/2022,10
21/4/2022,6
22/4/2022,4
23/4/2022,4
24/4/2022,3
25/4/2022,1
26/4/2022,6
27/4/2022,2
28/4/2022,5
29/4/2022,6
30/4/2022,11
1/5/2022,5
2/5/2022,5
3/5/2022,3
4/5/2022,6
5/5/2022,5
6/5/2022,5
7/5/2022,3
8/5/2022,3
9/5/2022,5
10/5/2022,5
11/5/2022,2
12/5/2022,1
13/5/2022,6
14/5/2022,8
15/5/2022,5
16/5/2022,5
17/5/2022,5
18/5/2022,10
19/5/2022,5
20/5/2022,6
21/5/2022,5
22/5/2022,3
23/5/2022,3
24/5/2022,6
25/5/2022,5
26/5/2022,3
27/5/2022,6
28/5/2022,2
29/5/2022,7
30/5/2022,5
31/5/2022,5
1/6/2022,4
2/6/2022,5
3/6/2022,5
4/6/2022,3
5/6/2022,5
6/6/2022,2
7/6/2022,4
8/6/2022,3
9/6/2022,4
10/6/2022,8
11/6/2022,5
12/6/2022,7
13/6/2022,8
14/6/2022,4
15/6/2022,2
16/6/2022,4
17/6/2022,6
18/6/2022,4
19/6/2022,6
20/6/2022,7
21/6/2022,7
22/6/2022,4
23/6/2022,4
24/6/2022,8
25/6/2022,6
26/6/2022,6
27/6/2022,5
28/6/2022,8
29/6/2022,4
30/6/2022,3
1/7/2022,8
2/7/2022,5
3/7/2022,8
4/7/2022,3
5/7/2022,6
6/7/2022,6
7/7/2022,9
8/7/2022,5
9/7/2022,6
10/7/2022,4
11/7/2022,2
12/7/2022,8
13/7/2022,4
14/7/2022,5
15/7/2022,2
16/7/2022,7
17/7/2022,4
18/7/2022,7
19/7/2022,4
20/7/2022,3
21/7/2022,5
22/7/2022,4
23/7/2022,3
24/7/2022,5
25/7/2022,5
26/7/2022,3
27/7/2022,3
28/7/2022,6
29/7/2022,9
30/7/2022,2
31/7/2022,7
1/8/2022,9
2/8/2022,7
3/8/2022,4
4/8/2022,6
5/8/2022,9
6/8/2022,9
7/8/2022,4
8/8/2022,3
9/8/2022,3
10/8/2022,4
11/8/2022,5
12/8/2022,8
13/8/2022,5
14/8/2022,3
15/8/2022,2
16/8/2022,4
17/8/2022,7
18/8/2022,4
19/8/2022,3
20/8/2022,4
21/8/2022,6
22/8/2022,4
23/8/2022,6
24/8/2022,6
25/8/2022,5
26/8/2022,4
27/8/2022,5
28/8/2022,4
29/8/2022,5
30/8/2022,8
31/8/2022,3
1/9/2022,4
2/9/2022,3
3/9/2022,4
4/9/2022,3
5/9/2022,5
6/9/2022,9
7/9/2022,6
8/9/2022,9
9/9/2022,5
10/9/2022,5
11/9/2022,5
12/9/2022,2
13/9/2022,3
14/9/2022,5
15/9/2022,4
16/9/2022,9
17/9/2022,5
18/9/2022,4
19/9/2022,4
20/9/2022,7
21/9/2022,6
22/9/2022,3
23/9/2022,2
24/9/2022,6
25/9/2022,6
26/9/2022,3
27/9/2022,2
28/9/2022,2
29/9/2022,4
30/9/2022,3
1/10/2022,4
2/10/2022,3
3/10/2022,3
4/10/2022,3
5/10/2022,5
6/10/2022,7
7/10/2022,1
8/10/2022,5
9/10/2022,8
10/10/2022,4
11/10/2022,2
12/10/2022,3
13/10/2022,4
14/10/2022,3
15/10/2022,3
16/10/2022,3
17/10/2022,3
18/10/2022,3
19/10/2022,10
20/10/2022,4
21/10/2022,5
22/10/2022,6
23/10/2022,2
24/10/2022,2
25/10/2022,2
26/10/2022,8
27/10/2022,6
28/10/2022,2
29/10/2022,5
30/10/2022,5
31/10/2022,4
1/11/2022,11
2/11/2022,3
3/11/2022,7
4/11/2022,2
5/11/2022,4
6/11/2022,3
7/11/2022,3
8/11/2022,7
9/11/2022,6
10/11/2022,4
11/11/2022,5
12/11/2022,2
13/11/2022,4
14/11/2022,10
15/11/2022,6
16/11/2022,6
17/11/2022,4
18/11/2022,4
19/11/2022,12
20/11/2022,7
21/11/2022,9
22/11/2022,7
23/11/2022,7
24/11/2022,4
25/11/2022,6
26/11/2022,11
27/11/2022,4
28/11/2022,4
29/11/2022,7
30/11/2022,2
1/12/2022,4
2/12/2022,5
3/12/2022,3
4/12/2022,5
5/12/2022,10
6/12/2022,11
7/12/2022,3
8/12/2022,5
9/12/2022,4
10/12/2022,6
11/12/2022,4
12/12/2022,5
13/12/2022,3
14/12/2022,4
15/12/2022,6
16/12/2022,5
17/12/2022,2
18/12/2022,7
19/12/2022,4
20/12/2022,10
21/12/2022,4
22/12/2022,7
23/12/2022,2
24/12/2022,8
